"abbrev","category","term","p.value","adj.p.value","p.fdr"
"PT","TH","Sugar1d",0.16382404752862,0.142906571394428,0.20144025930875
"PVH","HY","Sugar1d",0.10823359770268,0.0968764925806734,0.154670754298179
"PVp","HY","Sugar1d",0.025468319480005,0.0241815036653388,0.079612743284575
"PVT","TH","Sugar1d",0.605357052335182,0.457557418535105,0.493748400792119
"RCH","HY","Sugar1d",0.0149904509587522,0.0143538961376756,0.0597750502767401
"RE","TH","Sugar1d",0.603774855195195,0.45655783367184,0.493748400792119
"RN","MB","Sugar1d",0.974226194914437,0.661569685462089,0.686738097409016
"RPO","P","Sugar1d",0.92504637756677,0.641537436628005,0.667758312784463
"RSPagl1","CTXpl","Sugar1d",0.00358612530147518,0.00348951433885614,0.0317250070145413
"RSPagl2/3","CTXpl","Sugar1d",0.00534056885155974,0.00517227598852499,0.0396196273917173
"RSPagl5","CTXpl","Sugar1d",0.0261961153057526,0.0245924180826698,0.079612743284575
"RSPagl6a","CTXpl","Sugar1d",0.000912476454253709,0.000898561793539865,0.0142421959568873
"RSPagl6b","CTXpl","Sugar1d",0.000275663859278138,0.000273348783907168,0.00803224888096447
"RSPd1","CTXpl","Sugar1d",0.123868897879313,0.10895849634958,0.167831232280401
"RSPd2/3","CTXpl","Sugar1d",0.02431695197388,0.0228743871410042,0.0780179989987822
"RSPd5","CTXpl","Sugar1d",0.0613513942169032,0.0559394930243392,0.115786736496625
"RSPd6a","CTXpl","Sugar1d",0.0235078746429197,0.0221339732251835,0.0768605978325034
"RSPd6b","CTXpl","Sugar1d",0.0403130065046315,0.0373463326581754,0.0978062997830107
"RSPv1","CTXpl","Sugar1d",0.00430254027525648,0.00417832686838759,0.0339600183771077
"RSPv2/3","CTXpl","Sugar1d",0.0585505273512385,0.0534892539448247,0.115786736496625
"RSPv5","CTXpl","Sugar1d",0.0981380014067791,0.0875046962935433,0.143462635125037
"RSPv6a","CTXpl","Sugar1d",0.0894389963942502,0.0801371926884944,0.137754484254427
"RSPv6b","CTXpl","Sugar1d",0.434408511337963,0.341476761460393,0.390551266101408
"RT","TH","Sugar1d",0.317954568325953,0.259273189024519,0.313972453749308
"SAG","MB","Sugar1d",0.0450717628857939,0.0415930698546589,0.103172420029089
"SBPV","HY","Sugar1d",0.313018761617907,0.259725904148642,0.313972453749308
"SCdg","MB","Sugar1d",0.0231003012930831,0.0217602831360615,0.0762608087887659
"SCdw","MB","Sugar1d",0.00945898195615154,0.00908199302941093,0.0488636808061264
"SCH","HY","Sugar1d",0.107342630270918,0.0980721420808847,0.155450449273435
"SCig","MB","Sugar1d",0.00685858278314403,0.00661957544349667,0.042858946091792
"SCiw","MB","Sugar1d",0.0248952596340823,0.0234045799884647,0.0784258732946799
"SCop","MB","Sugar1d",0.00392901288855095,0.00382028880279817,0.0317250070145413
"SCsg","MB","Sugar1d",0.000355867798317679,0.000352165418791683,0.00896847933189487
"SF","STR","Sugar1d",0.0459926649181666,0.0427476214654511,0.10471931587167
"SGN","TH","Sugar1d",0.265078369274716,0.220127541257758,0.27668509687857
"SI","PAL","Sugar1d",0,0,0
"SLC","P","Sugar1d",0.272752697512237,0.2258859294936,0.280157224242062
"SLD","P","Sugar1d",0.385842193583607,0.307837428854709,0.357428260858659
"SMT","TH","Sugar1d",0.883605763427999,0.735938082172822,0.752157914255578
"SNc","MB","Sugar1d",0.182098546554774,0.15608885358517,0.214481806005521
"SNr","MB","Sugar1d",0.085876800944614,0.0771014951311635,0.135992768006055
"SO","HY","Sugar1d",0.0180794455650098,0.0172441909970081,0.0667755575381377
"SOCl","P","Sugar1d",0.0671394582882379,0.0612948136317211,0.121319268431697
"SOCm","P","Sugar1d",0.0954558685392684,0.0860135520615255,0.14223886098486
"SPA","TH","Sugar1d",0.749660461466772,0.54473275474439,0.57482848705071
"SPFm","TH","Sugar1d",0.333654752978835,0.273458702171802,0.325424374547129
"SPFp","TH","Sugar1d",0.343458649294989,0.277730611604054,0.328461590194269
"SSp-bfd1","CTXpl","Sugar1d",0.178976286151631,0.153614422650288,0.213384398008763
"SSp-bfd2/3","CTXpl","Sugar1d",0.00973698829554559,0.00934447099291891,0.049369952654348
"SSp-bfd4","CTXpl","Sugar1d",0.00370507963262428,0.00360499119112601,0.0317250070145413
"SSp-bfd5","CTXpl","Sugar1d",0.0774726162783714,0.0699078803496791,0.12903530051446
"SSp-bfd6a","CTXpl","Sugar1d",0.0916273233176011,0.0819952461765813,0.139209706842018
"SSp-bfd6b","CTXpl","Sugar1d",0.0510468202457865,0.0468892227497101,0.109021502625893
"SSp-ll1","CTXpl","Sugar1d",0.000400121279259672,0.000395747437645033,0.00944847007377517
"SSp-ll2/3","CTXpl","Sugar1d",0.000351054976715859,0.000347421017331984,0.00896847933189487
"SSp-ll4","CTXpl","Sugar1d",0.0930641132293494,0.0832137431566355,0.140033699937598
"SSp-ll5","CTXpl","Sugar1d",0.0952355041986974,0.0850526308286206,0.14187818767045
"SSp-ll6a","CTXpl","Sugar1d",0.0122135553610075,0.0116719299701928,0.056438952514097
"SSp-ll6b","CTXpl","Sugar1d",0.0583322977270227,0.053299238153245,0.115786736496625
"SSp-m1","CTXpl","Sugar1d",0.117184955984282,0.103452075204149,0.163300383173492
"SSp-m2/3","CTXpl","Sugar1d",0.0646775545643386,0.0588409391450168,0.11892718917141
"SSp-m4","CTXpl","Sugar1d",0.381981556576376,0.305124706481711,0.355358652061017
"SSp-m5","CTXpl","Sugar1d",0.540310741144283,0.41184181004419,0.453697485290769
"SSp-m6a","CTXpl","Sugar1d",0.644721931810716,0.47743172168116,0.508019269309758
"SSp-m6b","CTXpl","Sugar1d",0.638827861656656,0.473825063154738,0.506309726123405
"SSp-n1","CTXpl","Sugar1d",0.0245912548160082,0.0231268423780588,0.0781810069771547
"SSp-n2/3","CTXpl","Sugar1d",0.00320832188963917,0.0031267165001243,0.0309294654765898
"SSp-n4","CTXpl","Sugar1d",0.00738683435204633,0.00712141330121652,0.0439731229070309
"SSp-n5","CTXpl","Sugar1d",0.341672829040417,0.276455550430055,0.327969007031928
"SSp-n6a","CTXpl","Sugar1d",0.462356353746918,0.360434911091315,0.406153793619122
"SSp-n6b","CTXpl","Sugar1d",0.79973066499773,0.568281006626072,0.596382814646043
"SSp-tr1","CTXpl","Sugar1d",0.313059306048573,0.255676918144728,0.311046441819382
"SSp-tr2/3","CTXpl","Sugar1d",0.0136631550423592,0.0130279616982906,0.0585491925734941
"SSp-tr4","CTXpl","Sugar1d",0.0757106936734112,0.0683905929574783,0.128843440083631
"SSp-tr5","CTXpl","Sugar1d",0.128865456977913,0.11311031244301,0.172143981486972
"SSp-tr6a","CTXpl","Sugar1d",0.00383726859422174,0.00373207710320222,0.0317250070145413
"SSp-tr6b","CTXpl","Sugar1d",0.0194367082757245,0.0183888301979064,0.0696454859507539
"SSp-ul1","CTXpl","Sugar1d",0.0509705026684644,0.0468215734157957,0.109021502625893
"SSp-ul2/3","CTXpl","Sugar1d",0.000594501345048822,0.000586896526856284,0.0117997091189
"SSp-ul4","CTXpl","Sugar1d",0.0901925193065602,0.0807774986203968,0.137754484254427
"SSp-ul5","CTXpl","Sugar1d",0.213243909580939,0.180523756823428,0.240279007339893
"SSp-ul6a","CTXpl","Sugar1d",0.459764257730394,0.358685306508337,0.405378068302321
"SSp-ul6b","CTXpl","Sugar1d",0.403998043894212,0.320517713437145,0.369902617924439
"SSs1","CTXpl","Sugar1d",0.0758018347392654,0.0684691579502018,0.128843440083631
"SSs2/3","CTXpl","Sugar1d",0.0223595488094034,0.0210805694900232,0.0762608087887659
"SSs4","CTXpl","Sugar1d",0.0582008787579183,0.0531833240376781,0.115786736496625
"SSs5","CTXpl","Sugar1d",0.143912402818067,0.125426121612816,0.183719769546854
"SSs6a","CTXpl","Sugar1d",0.0531530860939626,0.0487456039890691,0.110838218594193
"SSs6b","CTXpl","Sugar1d",0.128495279377231,0.112802775434587,0.172143981486972
"STN","HY","Sugar1d",0.47183003664991,0.370512209683242,0.416281364997054
"SUB","HPF","Sugar1d",0.0174734647665585,0.0165726224316273,0.0659452267591835
"SubG","TH","Sugar1d",0.601522396626573,0.450735449121416,0.490543993060914
"SUM","HY","Sugar1d",0.0269203564155859,0.0254317483822341,0.0809577323501117
"SUT","P","Sugar1d",0.0351654995396914,0.0327254264069,0.0926008362032282
"TEa1","CTXpl","Sugar1d",0.0225605855348593,0.0214060193763888,0.0762608087887659
"TEa2/3","CTXpl","Sugar1d",0.0439442551295667,0.0405889498198838,0.102203985335062
"TEa4","CTXpl","Sugar1d",0.0699330911423404,0.063402786862556,0.123570737660696
